date_day,station,temp_F_max,temp_F_min,temp_F_mean,precip_in_sum
2020-12-31,Sanfoin Bench,40.2,27.6,35,0
2020-12-31,Indian Ridge,37.8,25.3,31.3,0
2020-12-31,Orchard House,40.2,26.9,30.7,0
2020-12-31,Baldy Draw,35.4,34.5,35.1,0
2020-12-31,South Baldy Ridge,33,27.6,30,0
2020-12-31,Baldy Summit,28.5,26,27,0
2020-12-30,South Baldy Ridge,30.7,20.8,25.4,0
2020-12-30,Sanfoin Bench,28,17.7,19.8,0
2020-12-30,Baldy Draw,22.1,20.4,21.3,0
2020-12-30,Baldy Summit,26.7,18.7,22.3,0
2020-12-30,Orchard House,28.6,16.7,21,0
2020-12-30,Indian Ridge,28.8,18.2,20.7,0
2020-12-29,Baldy Draw,26.1,21.8,23.5,0
2020-12-29,Sanfoin Bench,27,15.4,21.6,0
2020-12-29,South Baldy Ridge,28.2,18.8,22.7,0
2020-12-29,Baldy Summit,27.1,15.6,20.7,0
2020-12-29,Indian Ridge,24.5,13.8,18.4,0
2020-12-29,Orchard House,26.3,13.5,18.9,0
2020-12-28,Sanfoin Bench,35,14.4,24.8,0
2020-12-28,Baldy Draw,31.4,19.1,24.9,0
2020-12-28,Indian Ridge,33,17.4,24.3,0
2020-12-28,South Baldy Ridge,30.6,20.2,25.7,0
2020-12-28,Baldy Summit,27.6,19.3,22.8,0
2020-12-28,Orchard House,33.4,16.4,24.6,0
2020-12-27,South Baldy Ridge,33.7,27.7,30.6,0
2020-12-27,Baldy Summit,29.7,23.7,26.2,0
2020-12-27,Indian Ridge,38.6,28.5,33.5,0
2020-12-27,Sanfoin Bench,42,29,35.7,0
2020-12-27,Orchard House,40.9,28,34.3,0
2020-12-27,Baldy Draw,35.8,28.6,32.6,0
2020-12-26,South Baldy Ridge,37.3,31.1,34.8,0
2020-12-26,Orchard House,37.3,26.2,29.3,0
2020-12-26,Baldy Summit,34.3,26.9,31.3,0
2020-12-26,Indian Ridge,36.6,24.3,27.6,0
2020-12-26,Sanfoin Bench,36.6,26.7,32.4,0
2020-12-26,Baldy Draw,39,26.3,32.6,0
2020-12-25,Sanfoin Bench,30.3,23.5,27.8,0
2020-12-25,South Baldy Ridge,37.1,30.5,33.2,0
2020-12-25,Orchard House,30.3,16.4,21.1,0
2020-12-25,Baldy Summit,33.3,27,30.2,0
2020-12-25,Baldy Draw,32.4,22.1,27.3,0
2020-12-25,Indian Ridge,27.6,15.2,20.2,0
2020-12-24,Orchard House,31.1,14.3,22.1,0
2020-12-24,Indian Ridge,28.9,14.2,21.5,0
2020-12-24,Sanfoin Bench,30.8,15.1,23.6,0
2020-12-24,Baldy Summit,33.5,16.2,21.5,0
2020-12-24,Baldy Draw,28.6,18.3,22.9,0
2020-12-24,South Baldy Ridge,35.2,19.4,24.8,0
2020-12-23,Baldy Summit,20.2,16,18.4,0
2020-12-23,South Baldy Ridge,26.5,18.2,22,0
2020-12-23,Orchard House,34.4,18.2,26.5,0
2020-12-23,Indian Ridge,32.5,19.3,25.3,0
2020-12-23,Baldy Draw,28.9,21.6,25.1,0
2020-12-23,Sanfoin Bench,35.6,23.8,30.3,0
2020-12-22,Baldy Draw,47.7,24.5,35.5,0
2020-12-22,Indian Ridge,45.9,27.7,37.1,0
2020-12-22,South Baldy Ridge,45.6,22.7,34.7,0
2020-12-22,Sanfoin Bench,43.2,30.2,35.2,0
2020-12-22,Baldy Summit,42.4,19.7,31,0
2020-12-22,Orchard House,47.9,30.3,37.4,0
2020-12-21,Baldy Summit,41.8,29.4,33.6,0.1
2020-12-21,Sanfoin Bench,45.5,35.7,39.2,0.1
2020-12-21,Orchard House,45.9,35.8,40.6,0.1
2020-12-21,Indian Ridge,43,33.9,38.9,0.1
2020-12-21,Baldy Draw,48.4,33.3,39,0.1
2020-12-21,South Baldy Ridge,45.4,31.7,37.3,0.1
2020-12-20,South Baldy Ridge,38,32.5,35.3,0
2020-12-20,Sanfoin Bench,47.1,37.4,42.1,0
2020-12-20,Indian Ridge,44.5,36.8,40.2,0
2020-12-20,Baldy Summit,32.9,29.5,31.3,0
2020-12-20,Baldy Draw,40.6,34.8,37.9,0
2020-12-20,Orchard House,45.9,38.7,42.2,0
2020-12-19,Indian Ridge,43.3,36,39.2,0
2020-12-19,Baldy Summit,33.2,27.4,29.9,0
2020-12-19,Orchard House,45.5,37,40.9,0
2020-12-19,South Baldy Ridge,38,31.4,34.3,0
2020-12-19,Sanfoin Bench,46,29.8,39.5,0
2020-12-19,Baldy Draw,40,33.2,36.7,0
2020-12-18,South Baldy Ridge,32.5,29.2,30.7,0
2020-12-18,Indian Ridge,37.4,31.5,34,0
2020-12-18,Baldy Draw,35.2,31.1,32.6,0
